min_resting_heartrate,avg_resting_heartrate,max_resting_heartrate,min_active_heartrate,avg_active_heartrate,max_active_heartrate,min_bmi,avg_bmi,max_bmi,min_vo2,avg_vo2,max_vo2,min_workout_minutes,avg_workout_minutes,max_workout_minutes,min_steps,avg_steps,max_steps,as_x_aah,bmi_change,steps_change,workout_minutes_change,var_workout_minutes,var_steps,lifestyle
100.1219032,82.68379728,99.13828099,120.3077914,139.4348747,162.3478273,19.53081568,22.39806365,24.99708144,20.28334129,20.99401158,21.49117627,1.046930227,5.502632467,9.325750005,2539,5171.49589,7837,721086.8817,5.466265755,5298,8.278819778,1.904236694,627907.0555,Sedentary
52.71287565,77.73294229,97.93773119,109.0493865,127.0571535,146.8698681,22.63526877,25.15081265,27.93361434,24.9291508,25.52747527,26.23170213,12.10905609,37.21670181,66.11591853,10027,7115.591781,9611,904086.8369,5.298345567,-416,54.00686244,82.91861785,1316762.225,Weight Trainer
100.373661,86.51162896,99.78933646,129.5517281,147.3157313,177.78315,16.84474064,19.148256,21.33966454,18.81713072,19.44840652,19.94684681,10.52460616,45.00008651,84.72505622,10822,7257.693151,9909,1069172.374,4.494923896,-913,74.20045006,137.2950719,1336599.676,Weight Trainer
58.4188056,77.55054136,98.87532937,110.845517,129.5770039,146.73865,21.33582041,24.24037573,26.9091498,20.70585957,21.40130178,22.08852645,11.40253042,37.88606873,68.11952463,10014,7129.690411,9864,923843.9225,5.573329388,-150,56.71699421,90.69973626,1212804.718,Weight Trainer
49.81689071,68.9331058,92.68678861,116.6889423,136.5026866,162.3638298,27.48603555,30.7265958,33.8721728,28.10242507,28.85523017,29.76528816,11.65998859,32.24198399,60.51374198,10317,6958.378082,9766,949837.3027,6.386137249,-551,48.85375339,70.65633204,1095014.86,Weight Trainer
47.35569868,69.31244795,92.76249605,147.876166,167.1858502,186.2836149,23.58928818,27.13266903,31.02646723,30.03297771,30.93920511,32.02682828,0.856124319,5.119426899,9.947677458,2938,5128.024658,7310,857333.162,7.437179054,4372,9.091553139,1.907204225,615064.1775,Sedentary
43.51461112,64.64397545,82.07381856,126.1426366,152.9654977,173.9874818,25.86518919,29.17716498,32.82229406,27.83419877,28.92795344,29.7822018,0.800631666,5.015081852,8.929350706,3000,5167.789041,8082,790493.4228,6.957104866,5082,8.12871904,1.590124111,597899.8486,Sedentary
100.0030923,81.33282756,99.23741546,119.403822,137.57132,156.9670311,18.46292617,20.85007149,23.40811251,22.03064362,22.5640063,23.21515783,11.98766719,42.37552146,9.021257322,10017,7281.586301,9604,1001737.439,4.945186333,-413,-2.966409869,110.1921209,1294989.618,Weight Trainer
40.71417294,64.79507043,82.96829328,116.4176566,139.3983637,157.3952858,28.32413027,31.38643121,34.81393268,28.22806809,29.09651077,29.98428956,11.41281922,33.32983713,56.01258265,4414,7029.608219,9991,979915.883,6.489802415,5577,44.59976343,76.42496198,1102347.937,Weight Trainer
100.0036253,89.51117797,99.91629553,106.1026135,126.5704816,148.2832004,17.18804255,19.83075372,22.2880222,19.19131466,19.75046215,20.4545068,12.97962146,43.30528046,87.17249937,10000,7362.769863,9993,931909.3278,5.099979653,-7,74.19287792,119.0067441,1506497.618,Weight Trainer
